City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Tandalti,SD,13.0167,31.8667,83.14,59,75,7.49,broken clouds
302,Sturgeon Bay,US,44.8342,-87.377,54.0,94,40,4.61,moderate rain
303,Kilindoni,TZ,-7.9139,39.6668,75.78,81,9,12.71,clear sky
304,Quesnel,CA,52.9999,-122.5029,75.7,41,0,4.61,clear sky
305,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,17.27,scattered clouds
306,Hameenlinna,FI,60.996,24.4643,40.14,93,99,3.98,overcast clouds
307,Kyshtovka,RU,56.555,76.6271,30.24,92,71,5.95,broken clouds
308,Saint Anthony,US,45.0205,-93.218,63.66,48,40,18.41,scattered clouds
309,Rio Gallegos,AR,-51.6226,-69.2181,50.05,40,75,17.27,broken clouds
310,Hobyo,SO,5.3505,48.5268,76.23,87,67,20.51,broken clouds
311,Oyama,JP,36.3,139.8,76.59,63,27,1.81,scattered clouds
312,Forestville,US,38.8451,-76.875,72.46,66,20,13.8,few clouds
313,Codo,BR,-4.4553,-43.8856,77.56,64,40,1.25,scattered clouds
314,Nhulunbuy,AU,-12.2333,136.7667,86.61,54,0,12.66,clear sky
315,Rabo De Peixe,PT,37.8,-25.5833,66.27,78,20,6.91,few clouds
316,Kiruna,SE,67.8557,20.2251,40.12,87,100,10.36,overcast clouds
317,Seoul,KR,37.5683,126.9778,63.97,77,0,3.44,clear sky
318,Burgeo,CA,47.6167,-57.6152,53.4,83,22,9.01,few clouds
319,Camocim,BR,-2.9022,-40.8411,78.53,76,11,15.28,few clouds
320,Geraldton,AU,-28.7667,114.6,55.81,88,0,6.91,clear sky
321,Liuhe,CN,42.2401,125.7172,57.97,73,0,3.91,clear sky
322,Acajutla,SV,13.5928,-89.8275,79.79,87,81,8.01,light rain
323,Fairbanks,US,64.8378,-147.7164,55.09,55,20,3.44,few clouds
324,Cabo San Lucas,MX,22.8909,-109.9124,89.06,66,0,11.5,clear sky
325,Pochutla,MX,15.7432,-96.4661,78.82,93,96,4.43,overcast clouds
326,Amga,RU,60.8953,131.9608,38.91,80,100,4.54,overcast clouds
327,Naze,JP,28.3667,129.4833,81.52,76,15,10.13,few clouds
328,Harper,LR,4.375,-7.7169,73.02,95,100,7.81,heavy intensity rain
329,Okha,RU,53.5739,142.9478,48.18,70,48,8.14,scattered clouds
330,Mangan,IN,27.5167,88.5333,72.09,88,100,1.88,overcast clouds
331,Edd,ER,13.9297,41.6925,88.9,65,56,6.15,broken clouds
332,Baker City,US,44.7749,-117.8344,83.59,19,0,4.61,clear sky
333,Bengkulu,ID,-3.8004,102.2655,76.08,85,95,3.74,overcast clouds
334,Hollins,US,37.3413,-79.9431,70.54,80,75,6.91,broken clouds
335,Upington,ZA,-28.4478,21.2561,64.78,39,0,5.75,clear sky
336,Avera,US,33.194,-82.5271,75.54,54,12,4.43,few clouds
337,Krasnaya Gora,RU,52.9995,31.6023,48.83,64,100,5.82,overcast clouds
338,Lubango,AO,-14.9172,13.4925,64.04,68,95,1.45,light rain
339,Ahipara,NZ,-35.1667,173.1667,64.56,64,100,13.98,overcast clouds
340,Axim,GH,4.8699,-2.2405,75.33,91,61,8.41,light rain
341,Touros,BR,-5.1989,-35.4608,77.04,78,0,13.96,clear sky
342,Songadh,IN,21.1667,73.5667,71.17,94,90,1.97,overcast clouds
343,Kutum,SD,14.2,24.6667,75.56,58,79,20.13,broken clouds
344,Flores Da Cunha,BR,-29.0289,-51.1817,55.6,98,100,3.15,overcast clouds
345,Plouzane,FR,48.3833,-4.6167,53.65,90,100,6.91,overcast clouds
